Crop,Residue_Factor,Residue_Type,N_pct,P_pct,K_pct,Common_Use
Rice (Paddy),1.5,Straw,0.5,0.1,1.2,"Compost, Bioenergy"
Wheat,1.3,Straw,0.6,0.12,1.4,"Mulching, Feed"
Maize,1.2,Stover,0.7,0.15,1.3,"Silage, Briquettes"
Sorghum,1.3,Stalk,0.6,0.13,1.1,"Bioethanol, Feed"
Pearl Millet (Bajra),1.1,Stalk,0.5,0.11,1.2,"Cattle Feed, Biofuel"
Finger Millet (Ragi),1,Straw,0.7,0.12,1,"Compost, Feed"
Barley,1.2,Straw,0.6,0.1,1.2,"Bedding, Feed"
Sugarcane,2.5,Bagasse,0.8,0.2,1,"Bioenergy, Paper"
Cotton,2,Stalk,0.7,0.15,1.3,"Briquettes, Compost"
Groundnut,1.4,Haulms,1.2,0.15,1.4,"Fodder, Mulch"
Mustard,1.2,Stalk,0.8,0.18,1.1,"Compost, Fuel"
Soybean,1.3,Haulms,1.3,0.2,1.3,"Feed, Fertilizer"
Sunflower,1.1,Stalk,1.1,0.15,1.4,"Mulch, Biochar"
Sesame,1,Stalk,0.9,0.13,1.2,"Biofuel, Fodder"
Chickpea,1.2,Stalk,1.4,0.2,1.1,"Feed, Compost"
Pigeon Pea (Tur),1.3,Stalk,1.3,0.22,1.2,"Fuel, Mulch"
Black Gram (Urad),1.2,Stalk,1.4,0.2,1.1,"Compost, Feed"
Green Gram (Moong),1.1,Stalk,1.3,0.18,1,"Fodder, Fertilizer"
Lentil,1,Straw,1.4,0.22,1.1,"Feed, Soil Amendment"
Pea,1.2,Vine,1.2,0.2,1,"Compost, Feed"
Potato,0.6,Haulms,0.9,0.15,1,"Biofertilizer, Compost"
Tomato,0.8,Stalk,0.8,0.12,1.1,"Mulch, Compost"
Onion,0.7,Leaves,0.6,0.1,1.2,"Manure, Bioenergy"
Garlic,0.6,Leaves,0.7,0.1,1.1,"Compost, Feed"
Cabbage,0.9,Leaves,0.8,0.12,1.2,"Animal Feed, Compost"
Cauliflower,0.9,Leaves,0.8,0.12,1.2,"Feed, Mulch"
Brinjal (Eggplant),1,Stalk,0.8,0.15,1.1,"Compost, Fuel"
Okra,1,Stalk,0.9,0.16,1.2,"Mulch, Briquettes"
Chillies,1.1,Stalk,0.7,0.1,1,"Compost, Fuel"
Spinach,0.8,Leaves,0.9,0.1,1,"Manure, Feed"
Bottle Gourd,0.9,Vine,0.7,0.12,1.1,"Compost, Biofuel"
Bitter Gourd,0.9,Vine,0.8,0.13,1,"Feed, Compost"
Pumpkin,1,Vine,0.8,0.12,1.1,"Mulch, Compost"
Ridge Gourd,1,Vine,0.8,0.12,1,"Feed, Mulch"
Ash Gourd,0.9,Vine,0.8,0.12,1,"Feed, Compost"
Watermelon,0.8,Vine,0.7,0.1,1.1,"Compost, Feed"
Muskmelon,0.8,Vine,0.7,0.1,1.1,"Mulch, Compost"
Banana,2,Pseudostem,0.8,0.15,2,"Fiber, Compost"
Mango,1.2,Leaves,0.5,0.1,0.9,"Compost, Mulch"
Guava,1.1,Leaves,0.6,0.12,1,"Feed, Biochar"
Papaya,1.3,Stalk,0.8,0.15,1.2,"Compost, Biogas"
Coconut,2.5,Husk,0.5,0.1,1,"Coir, Fuel"
Arecanut,1.8,Husk,0.6,0.1,1,"Mulch, Fuel"
Cashew,1.2,Shell,0.5,0.1,0.9,"Compost, Fuel"
Tea,1.1,Leaves,0.7,0.1,1,"Compost, Mulch"
Coffee,1.1,Husk,0.8,0.12,1.1,"Biochar, Compost"
Rubber,1,Leaves,0.6,0.1,0.9,"Mulch, Fuel"
Jute,1.5,Stick,0.8,0.15,1.2,"Briquettes, Pulp"
Kenaf,1.4,Stick,0.9,0.15,1.1,"Paper, Biofuel"
Hemp,1.3,Stalk,1,0.15,1.2,"Fiber, Bioenergy"
Turmeric,1.1,Leaves,0.8,0.12,1,"Compost, Mulch"
Ginger,1,Leaves,0.7,0.1,1,"Compost, Feed"
Sugar Beet,0.8,Leaves,0.8,0.12,1,"Biofertilizer, Feed"
Sweet Potato,0.9,Vines,0.9,0.15,1.1,"Feed, Compost"
Tobacco,1.2,Stalk,0.8,0.12,1.1,"Briquettes, Biofuel"
Cottonseed,1.4,Hull,0.7,0.15,1.2,"Oilcake, Compost"
Safflower,1.2,Stalk,1,0.2,1.4,"Mulch, Biofuel"
Linseed,1,Stalk,0.8,0.15,1.3,"Bioenergy, Compost"
Caster,1.1,Stalk,0.9,0.16,1.2,"Compost, Briquettes"
Coriander,1,Stalk,0.8,0.1,1,"Feed, Mulch"
Cumin,0.9,Stalk,0.8,0.1,1.1,"Compost, Feed"
Fennel,1,Stalk,0.9,0.12,1.2,"Feed, Compost"
Fenugreek,0.9,Leaves,1,0.15,1.1,"Fodder, Compost"
Carrot,0.7,Leaves,0.8,0.1,1,"Compost, Feed"
Beetroot,0.7,Leaves,0.9,0.12,1.1,"Manure, Feed"
Spinach Beet,0.8,Leaves,0.9,0.1,1,"Manure, Compost"
Lettuce,0.8,Leaves,0.8,0.1,1,"Compost, Feed"
Amaranthus,0.9,Leaves,1,0.15,1.2,"Fodder, Compost"
Drumstick,1.2,Leaves,1.1,0.15,1.3,"Feed, Compost"
Cluster Bean,1,Stalk,1,0.2,1.2,"Compost, Feed"
Cowpea,1,Stalk,1.1,0.2,1.2,"Feed, Mulch"
Lablab,1,Vine,1.1,0.2,1.3,"Feed, Compost"
French Bean,1,Vine,1.2,0.22,1.2,"Feed, Mulch"
Soybean (Black),1.3,Haulms,1.3,0.2,1.4,"Feed, Compost"
Sesame (Til),1.1,Stalk,0.9,0.12,1.3,"Compost, Fuel"
Niger,1,Stalk,0.8,0.1,1.1,"Compost, Fuel"
Tuberose,1,Leaves,0.7,0.1,1,"Compost, Mulch"
Chrysanthemum,1,Stalk,0.8,0.12,1,"Compost, Feed"
Marigold,0.9,Leaves,0.8,0.12,1.1,"Compost, Feed"
Rose,1,Leaves,0.8,0.1,1,"Compost, Mulch"
Jasmine,1,Leaves,0.7,0.1,1,"Compost, Mulch"
Aloe Vera,0.9,Leaves,0.6,0.1,1.1,"Biofertilizer, Compost"
Lemongrass,1.2,Leaves,0.8,0.15,1.1,"Mulch, Biofuel"
Mint,0.8,Leaves,0.8,0.1,1,"Compost, Feed"
Turmeric (Wild),1,Leaves,0.8,0.12,1,"Compost, Mulch"
Bamboo,2,Culm,0.5,0.1,1,"Fuel, Biochar"
Eucalyptus,1.8,Bark,0.6,0.1,0.9,"Paper, Fuel"
Acacia,1.6,Wood,0.6,0.1,0.9,"Fuel, Compost"
Neem,1.3,Leaves,0.7,0.12,1,"Compost, Biofertilizer"
Teak,1.5,Wood,0.5,0.1,0.8,"Timber Waste, Fuel"
Pomegranate,1.2,Leaves,0.7,0.1,1,"Compost, Mulch"
Grapes,1,Vine,0.8,0.12,1.1,"Compost, Feed"
Apple,1,Pruning,0.6,0.1,0.9,"Compost, Mulch"
Pear,1,Pruning,0.6,0.1,0.9,"Compost, Mulch"
Litchi,1.1,Leaves,0.6,0.1,1,"Compost, Mulch"
Sapota,1.2,Leaves,0.7,0.1,1,"Compost, Mulch"
Quinoa,1.96,Stems,1.09,0.1,1.99,Briquettes
Buckwheat,1.84,Roots,0.75,0.11,1.07,Briquettes
Rye,2.32,Stalk,0.73,0.13,1.46,Green Manure
Millet (Kodo),0.81,Vines,0.55,0.09,1.3,Feed
Millet (Little),2.22,Leaves,0.51,0.19,1.65,Biofuel
Proso Millet,1.94,Straw,0.56,0.18,1.36,Biofuel
Barnyard Grass,1.93,Stalk,0.67,0.11,1.37,Feed
Foxtail Grass,1.34,Stems,1.03,0.08,1.56,Briquettes
Quackgrass,1.96,Roots,0.91,0.13,1.39,Mulch
Bluegrass,1.5,Haulms,0.78,0.12,1.92,Compost
Timothy Grass,2.47,Leaves,0.81,0.08,1.57,Feed
Alfalfa,2.44,Stalk,0.66,0.14,1.94,Bioenergy
Clover (Red),2.28,Leaves,1.19,0.1,1.85,Biofuel
Clover (White),1.53,Fronds,0.72,0.14,1.78,Green Manure
Chia,0.71,Stems,0.98,0.09,1.53,Feed
Flax,1.94,Pruning,0.55,0.19,1.75,Briquettes
Poppy,0.9,Straw,1.13,0.14,1.63,Bioenergy
Caraway,1.22,Straw,0.62,0.09,1.02,Biofertilizer
Dill,2.28,Straw,0.95,0.19,1.73,Mulch
Thyme,2.47,Vines,1.1,0.17,1.22,Biofertilizer
Oregano,2.45,Fronds,0.72,0.1,1.96,Mulch
